Country,Female Participants
USA,4239
GBR,2922
AUS,2578
CAN,2486
CHN,2273
GER,2169
FRA,2156
JPN,2097
ITA,1796
NED,1642
HUN,1566
RUS,1539
ROU,1430
ESP,1339
POL,1320
SWE,1308
URS,1281
KOR,1239
BRA,1127
BUL,909
UKR,901
GDR,752
FRG,724
NZL,722
TCH,698
DEN,673
MEX,641
GRE,627
SUI,617
AUT,594
CUB,588
BEL,571
BLR,563
ARG,526
FIN,503
NOR,499
RSA,428
TPE,403
CZE,400
JAM,366
PRK,317
KAZ,314
NGR,309
YUG,297
COL,293
POR,277
IRL,273
EUN,245
IND,238
TUR,230
VEN,219
THA,213
HKG,211
ISR,197
SLO,186
CRO,181
EGY,181
SVK,171
PUR,165
LTU,163
KEN,159
PER,158
MGL,136
INA,136
UZB,135
SGP,129
ANG,129
SRB,126
ZIM,113
PHI,104
LAT,103
MAS,101
BAH,100
CHI,97
TUN,95
CMR,94
ETH,92
ALG,90
ISL,90
MAR,85
EST,82
TTO,80
SEN,77
VIE,74
DOM,72
GUA,72
LUX,72
FIJ,67
ESA,66
CRC,65
AZE,64
ECU,64
URU,62
GEO,61
CIV,58
GHA,58
MRI,51
KGZ,51
SCG,49
MAD,48
CYP,47
IRI,45
ISV,45
SRI,44
MDA,42
UGA,42
BER,41
BAR,39
PAN,39
ANT,37
HON,36
BOL,36
MNE,35
CGO,35
BRN,31
MLI,29
MLT,29
IOA,29
MKD,28
NAM,28
SLE,27
GUM,27
PNG,26
COD,25
LIB,25
ALB,25
NEP,24
MYA,24
MOZ,23
JOR,23
SEY,23
TKM,22
NCA,22
PAR,22
SUR,22
ARM,22
TAN,21
GUY,21
RWA,20
HAI,19
BIH,19
LIE,19
ZAM,19
CAM,17
SKN,17
BHU,17
GRN,17
SYR,17
TJK,16
CAF,16
COK,16
ARU,16
SMR,16
BUR,15
GAB,15
GUI,15
LES,15
BDI,14
BEN,14
MAW,14
LBR,13
PLW,13
AND,13
GAM,13
BAN,13
LCA,13
LAO,12
SAM,12
MDV,12
VAN,12
CAY,12
AHO,12
PAK,11
VIN,11
LBA,11
FSM,11
GEQ,11
SUD,10
CHA,10
TGA,10
NIG,10
SOL,9
CPV,9
BIZ,9
PLE,8
TOG,8
GBS,8
COM,8
SWZ,8
UAE,7
MHL,7
QAT,7
MON,7
DMA,7
BOT,7
IRQ,7
SAA,7
ASA,7
STP,6
ERI,6
AFG,5
MTN,5
KOS,5
IVB,5
ROT,5
DJI,5
KSA,5
TLS,5
SOM,5
YEM,4
OMA,4
KUW,4
KIR,3
VNM,2
TUV,2
NRU,2
BOH,2
ANZ,2
BRU,2
SSD,1
RHO,1
MAL,1
